,0,1,2,3,4,5,6,7,8,TeamAgg
0,Atlanta Hawks,3,vsW,-,@L,-,vs,-,-,ATL
1,Boston Celtics,4,-,@W,@L,-,vs,-,vs,BOS
2,Brooklyn Nets,4,@L,-,vsL,-,vs,@,-,BKN
3,Charlotte Hornets,4,@L,@L,-,@,-,vs,-,CHA
4,Chicago Bulls,4,@W,-,vsL,-,vs,-,@,CHI
5,Cleveland Cavaliers,3,-,@W,-,-,@,-,vs,CLE
6,Dallas Mavericks,3,-,@L,-,vs,-,vs,-,DAL
7,Denver Nuggets,4,@W,-,-,@,@,-,@,DEN
8,Detroit Pistons,4,vsW,-,vsW,-,vs,vs,-,DET
9,Golden State Warriors,3,-,vsW,-,@,-,@,-,GSW
10,Houston Rockets,3,-,vsW,vsW,-,-,vs,-,HOU
11,Indiana Pacers,4,vsL,-,vsW,-,@,-,vs,IND
12,LA Clippers,4,@L,-,@W,-,@,-,@,LAC
13,Los Angeles Lakers,4,-,vsW,-,vs,vs,-,vs,LAL
14,Memphis Grizzlies,3,-,vsW,-,-,vs,vs,-,MEM
15,Miami Heat,4,@L,-,vsW,-,vs,-,vs,MIA
16,Milwaukee Bucks,3,-,@L,-,vs,-,@,-,MIL
17,Minnesota Timberwolves,4,@W,-,-,@,@,-,@,MIN
18,New Orleans Pelicans,4,-,vsW,-,@,@,-,@,NOP
19,New York Knicks,3,-,-,vsW,-,@,-,@,NYK
20,Oklahoma City Thunder,4,vsL,-,@W,-,@,-,@,OKC
21,Orlando Magic,3,-,vsL,-,vs,-,-,vs,ORL
22,Philadelphia 76ers,3,vsL,-,@L,-,-,vs,-,PHI
23,Phoenix Suns,4,-,@L,-,vs,vs,-,vs,PHX
24,Portland Trail Blazers,4,@W,-,@W,-,@,-,@,POR
25,Sacramento Kings,3,vsW,-,@W,-,-,@,-,SAC
26,San Antonio Spurs,4,-,@L,@L,-,-,@,vs,SAS
27,Toronto Raptors,4,-,vsL,@L,-,@,-,@,TOR
28,Utah Jazz,4,vsL,-,vsL,-,vs,-,vs,UTA
29,Washington Wizards,3,vsW,-,vsL,-,-,@,-,WAS
