Notes,predicted_label,confidence
sprained left ankle (DNP),DTD/DNP,0.34543212255714645
DNP,illness,0.2696037711008992
placed on IL (out for season),long term injury,0.4096439316770127
placed on IL with hamstring injury,injury,0.3165803941380316
activated from IL,returned,0.414050888258079
rest (DTD),other reasons,0.27116599912668504
returned to lineup,returned,0.39347904103321674
placed on IL with sprained left ankle,injury,0.34855877500224147
placed on IL with sore left ankle,soreness,0.30063087587397
ankle injury (DTD),DTD/DNP,0.2695347934183588
placed on IL with loose particle in right elbow,injury,0.34690102028389047
arthroscopic surgery on right elbow to remove loose particle (out indefinitely),surgery,0.22436117095333116
placed on IL with sprained right thumb,injury,0.34944456495853493
placed on IL with sore left knee,soreness,0.3829052309848173
placed on IL with left knee tendinitis (F),injury,0.45183119295241125
activated from IL (P),returned,0.414050888258079
placed on IL,injury,0.7035313093461577
fined $25K by NBA for making obscene gesture during game,fined,0.14429217510003486
sprained MCL in right knee (DTD),DTD/DNP,0.2578231424259011
placed on IL with swelling in right knee / sprained right knee,injury,0.32497817561730513
left knee tendinitis (DNP),injury,0.20528726852546209
sprained right ankle (DNP),DTD/DNP,0.17809916553810237
hip flexor injury (DNP),injury,0.28026485387154976
suspended by team for one game and fined an undisclosed amount for conduct detrimental to the team,suspension,0.31415502788510397
reinstated from suspension,returned,0.14638641495794832
sprained left knee (DNP),DTD/DNP,0.2383513643831351
knee injury (DNP),injury,0.21153873847450633
sore right calf (DNP),soreness,0.42903437387325666
placed on IL with strained right hamstring (out for season),long term injury,0.3357928967449169
surgery on left shoulder (out indefinitely),long term injury,0.28457480862100026
placed on IL recovering from surgery on left shoulder,surgery,0.2722630419366845
turf toe (DNP),illness,0.1616220564420522
placed on IL with sore back,soreness,0.3754591586626342
suspended by team for 1 game for conduct detrimental to the team,suspension,0.3314134064703224
placed on IL with legal problems,other reasons,0.2756283651400891
placed on IL with sore right ankle,soreness,0.45724245734624125
placed on IL with bruised back,injury,0.3958547213161034
placed on IL with sprained/sore left ankle,injury,0.30718012649353976
placed on IL with torn left pectoral muscle,injury,0.39792332854498663
surgery to repair torn left pectoral muscle (out for season),surgery,0.22543651669187484
stomach virus (DNP),illness,0.49491528885682773
left hamstring injury (DNP),DTD/DNP,0.2311596104253383
sore left calf (P) / hamstring (CBC) (DNP),DTD/DNP,0.19672972466907573
stomach illness (DNP),illness,0.6701059734419381
hamstring injury (DTD),DTD/DNP,0.2235357335077723
sore chest (P) / shoulder injury (CBC) (DNP),soreness,0.2542529658866426
shoulder injury (DNP),injury,0.16990368924653335
torn right pectoral muscle (out for season),long term injury,0.360453573699599
placed on IL with torn right pectoral muscle (out for season),long term injury,0.33860868562660545
surgery to repair torn pectoral muscle (out for season),surgery,0.24719215762072883
illness (DTD),illness,0.49505422751789735
placed on IL for rest,injury,0.29722744272834545
family reasons (DTD),other reasons,0.4127633072174487
placed on IL with strained lower back,injury,0.44935026449054494
assigned to NBADL,illness,0.12049627805415801
called up from NBADL,called up from G-leaue,0.2607813598222221
bone bruise in right knee (DNP),injury,0.19246766084611353
bruised back (DTD),DTD/DNP,0.49433434094794576
placed on IL with sore lower back,injury,0.3092720512261289
suspended by NBA for 2 games for fighting,suspension,0.3453768509500363
surgery on back to repair bulging disc (out indefinitely),surgery,0.456547105385916
death in family (DNP),other reasons,0.3283188641558846
hip flexor injury (DTD),injury,0.25073432245868355
placed on IL with hip flexor injury,injury,0.5487460816441364
placed on IL with illness,illness,0.38971351761414125
suspended by NBA for 1 game for altercation,suspension,0.3893555999076235
sore right Achilles tendon (DNP),soreness,0.3192142046372732
placed on IL with sprained left ankle (out for season),long term injury,0.36211405384463213
player issued warning by NBA for flopping,fined,0.13320585665658247
placed on IL with sore right Achilles tendon,soreness,0.30383509323719154
placed on IL with Achilles tendon injury,injury,0.47742159057314376
placed on IL with sore right Achilles tendon (out for season),soreness,0.26281286061592257
surgery on right Achilles tendon (out for season),long term injury,0.2257584849574329
sprained left elbow (DNP),DTD/DNP,0.2475748300748116
placed on IL with sprained left elbow,injury,0.3355099496551236
personal reasons (DTD),other reasons,0.6946873206659342
placed on IL (P),injury,0.7035313093461577
placed on IL recovering from surgery on left ankle,surgery,0.27953785467403974
placed on IL with left shoulder injury (out for season),long term injury,0.40877221867491587
surgery on left shoulder (out for season),long term injury,0.35092286389364935
bruised ribs (DNP),DTD/DNP,0.38292377169041997
sprained right ankle (out indefinitely),long term injury,0.3260892154820241
sore right ankle (DNP),soreness,0.4992135612936927
sore left ankle (DNP),soreness,0.3154365191582844
strained right Achilles tendon (DNP),DTD/DNP,0.1812921112970148
placed on IL with flu,injury,0.3996136056032351
placed on IL with strained left elbow,injury,0.36502915330982844
placed on IL with quadriceps injury,injury,0.514229176614739
placed on IL with leg injury,injury,0.5103463057739315
bruised left hip (DTD),DTD/DNP,0.45154909337663474
placed on IL with sore left hip,injury,0.2453444339283679
placed on IL for personal reasons,other reasons,0.661187038462145
