Notes,manual_label
back injury (out indefinitely),long term injury
strained left quadriceps (DTD),DTD/DNP
placed on IL with surgery to repair fractured left cheekbone,surgery
placed on IL with right Achilles tendon injury,injury
placed on IL with detached retina in left eye (out for season),long term injury
player began serving suspension game suspension,suspension
placed on IL recovering from surgery to repair torn left Achilles tendon,surgery
sore left Achilles (DNP),soreness
sore right leg (DNP),soreness
placed on IL with torn ACL and partially torn MCL in right knee (out for season),long term injury
assigned to NBA G League (Long Island Nets),G-leaue assignment
placed on IL with gastrointestinal ailment,illness
placed on IL with left knee injury,injury
placed on IL with right hip flexor injury,injury
bruised left ankle (DTD),DTD/DNP
placed on IL with sprained right ankle,injury
arthroscopic surgery on right knee to remove torn cartilage (out indefinitely),surgery
placed on IL with sprained ankles,injury
strained right knee (DNP),DTD/DNP
placed on IL with headaches/concussion,illness
fractured right little toe (DNP),DTD/DNP
bruised left foot (DTD),DTD/DNP
sprained left ankle (DNP) (P),DTD/DNP
suspended by team for long term injury game for conduct detrimental to the team,suspension
placed on IL recovering from surgery on right leg to repair fractured tibia (out for season),surgery
sprained/strained right index finger (DTD),DTD/DNP
placed on IL with sore left calf (out for season),long term injury
placed on IL with partially dislocated left shoulder (out for season),long term injury
placed on IL with enlarged heart (out for season),long term injury
placed on IL with strained left Achilles,injury
placed on IL with right hand injury,injury
placed on IL with turf toe in left big toe,injury
strained left index finger (out for season),long term injury
placed on IL recovering from surgery to repair ligament and bone in toe,surgery
placed on IL with stress reaction in tibia in left leg (out for season),long term injury
flu (DTD),illness
strained lower back (DNP),DTD/DNP
bruised left thumb (DNP),DTD/DNP
torn lateral meniscus in right knee (out indefinitely),long term injury
bruised right thumb (DTD),DTD/DNP
placed on IL with bruised left lower leg,injury
left quadriceps tendon injury (DTD),DTD/DNP
"fined $long term injurysuspension,000 by NBA for publically criticizing the referees after game",fined
placed on IL with bursitis in left heel,injury
left hip injury (out indefinitely),long term injury
placed on IL with hamstring injury / rest,other reasons
bruised right heel (DNP),DTD/DNP
surgery on left wrist to repair torn ligament (out indefinitely),surgery
fractured lower left leg (out for season),long term injury
strained neck (DTD),DTD/DNP
"fined $surgerysuspension,000 by NBA for critical comments towards officiating",fined
"fined $surgerysuspension,000 by NBA for his role in on-court altercation during game",fined
rest / sore right knee (DNP),soreness
stiff neck (DNP),DTD/DNP
placed on IL recovering from surgery to repair fractured right index finger,surgery
"fined $suspension0,000 for his role in altercation during game",fined
placed on IL with tightness in lower back / lower back spasms,injury
surgery on left knee to repair torn medial meniscus (out indefinitely),surgery
placed on IL with right Achilles injury (out for season),long term injury
right hamstring tendinitis/tightness (DTD),DTD/DNP
surgery on back (out for season),surgery
lacerated finger (DTD),DTD/DNP
right hamstring tendinitis (DTD),DTD/DNP
suspended by NBA for other reasons games for violating the league's anti-drug policy,suspension
microfracture surgery on left knee (out indefinitely),long term injury
placed on IL with nerve inflammation in left leg,injury
arthroscopic debridement surgery on right knee (out indefinitely),surgery
suspended by NBA for suspension games for violating the league's anti-drug program,suspension
placed on IL with strained abdominal / right hip injury,injury
placed on IL with hright hip pointer,injury
strained right calf (out for season),long term injury
