,Player,$,Form,TP.,Pos,team
1,Nikola Jokic,21.2,58.1,4501.4,front,DEN
2,Giannis Antetokounmpo,17.9,51.1,3845.1,front,MIL
121,James Harden,14.7,50.4,3557.7,back,LAC
122,Anthony Edwards,15.9,48.1,3432.5,back,MIN
3,Domantas Sabonis,16.8,46.2,3157.9,front,SAC
123,Stephen Curry,15.9,45.4,2851.5,back,GSW
4,Rudy Gobert,13.9,44.9,2389.5,front,MIN
124,Luka Doncic,19.0,43.8,2624.3,back,LAL
125,Trae Young,16.0,43.7,3398.2,back,ATL
5,Ivica Zubac,11.8,43.4,3181.0,front,LAC
6,Jimmy Butler,14.0,39.3,1977.2,front,GSW
126,DeMar DeRozan,14.4,37.8,2757.6,back,SAC
127,Devin Booker,14.8,36.2,3111.5,back,PHX
7,Kyle Filipowski,4.9,36.0,1536.0,front,UTA
8,LeBron James,16.7,35.6,3294.7,front,LAL
9,Nikola Vucevic,13.9,35.5,2835.0,front,CHI
128,Stephon Castle,7.6,35.4,2155.4,back,SAS
10,Bam Adebayo,15.0,35.1,3105.3,front,MIA
129,Zach LaVine,12.4,35.0,2569.0,back,SAC
11,Adem Bona,4.5,35.0,898.5,front,PHI
130,Dyson Daniels,8.7,34.9,2806.8,back,ATL
12,Julius Randle,15.0,34.7,2349.9,front,MIN
13,Anthony Davis,17.0,34.4,2634.5,front,DAL
131,Shaedon Sharpe,7.8,34.3,2104.8,back,POR
14,Jonathan Mogbo,4.3,34.1,1176.7,front,TOR
16,Justin Champagnie,4.7,34.0,1313.2,front,WAS
15,Kawhi Leonard,15.0,34.0,1388.8,front,LAC
132,Carlton Carrington,5.8,34.0,1846.2,back,WAS
133,Brandin Podziemski,9.3,33.8,1638.0,back,GSW
17,Donovan Clingan,7.4,33.4,1543.9,front,POR
134,Shai Gilgeous-Alexander,17.8,32.6,4107.3,back,OKC
135,Kevin Porter Jr.,6.9,32.6,1634.6,back,MIL
136,Josh Giddey,11.0,32.4,2640.7,back,CHI
137,Ja Morant,14.9,32.3,1985.0,back,MEM
