,Player,$,Form,TP.,Pos,team
0,Nikola Jokic,21.2,61.2,3333.2,front,DEN
1,Shai Gilgeous-Alexander,17.8,53.5,3026.7,back,OKC
2,Cade Cunningham,15.1,47.8,2565.3,back,DET
3,LeBron James,16.7,47.0,2438.5,front,LAL
4,James Harden,14.4,46.3,2348.0,back,LAC
5,Evan Mobley,13.4,46.1,2036.1,front,CLE
6,Jayson Tatum,16.5,45.8,2598.1,front,BOS
7,Karl-Anthony Towns,14.4,44.7,2525.0,front,NYK
8,Anthony Edwards,15.9,44.0,2477.9,back,MIN
9,Miles Bridges,13.6,42.7,1565.4,front,CHA
10,Scottie Barnes,15.1,42.5,1907.9,front,TOR
11,Amen Thompson,10.5,42.2,1880.3,back,HOU
12,Ivica Zubac,11.4,42.1,2120.4,front,LAC
13,Domantas Sabonis,16.9,42.1,2528.6,front,SAC
14,Jalen Brunson,15.3,41.9,2300.0,back,NYK
15,Tyrese Haliburton,15.2,41.9,2176.4,back,IND
16,Trey Murphy III,10.8,41.8,1547.0,front,NOP
17,Trae Young,16.0,41.5,2389.8,back,ATL
18,Austin Reaves,12.0,41.1,1771.2,back,LAL
19,Franz Wagner,13.2,40.8,1654.1,front,ORL
20,Josh Giddey,10.8,40.3,1837.4,back,CHI
21,Tyrese Maxey,15.0,40.0,2171.9,back,PHI
22,Devin Booker,14.9,39.9,2164.8,back,PHX
23,Jamal Murray,13.9,38.8,1965.5,back,DEN
24,Jalen Duren,12.4,38.6,1706.1,front,DET
25,Dyson Daniels,8.4,38.5,1926.8,back,ATL
26,Pascal Siakam,13.9,38.4,2078.5,front,IND
27,Tyler Herro,12.5,38.1,2111.8,back,MIA
28,Bam Adebayo,14.9,37.6,2104.8,front,MIA
29,De'Aaron Fox,15.3,37.5,2274.6,back,SAS
30,Jaren Jackson Jr.,14.0,37.4,2193.6,front,MEM
31,Stephen Curry,15.9,37.2,1901.8,back,GSW
32,Paolo Banchero,14.5,37.2,995.6,front,ORL
33,Zion Williamson,14.4,37.1,890.8,front,NOP
34,Donovan Mitchell,16.0,36.7,2116.4,back,CLE
35,Victor Wembanyama,17.2,36.1,2510.2,front,SAS
36,Kristaps Porzingis,13.9,36.0,1133.5,front,BOS
37,Kyrie Irving,15.5,35.9,1859.6,back,DAL
38,Naz Reid,9.5,35.5,1669.6,front,MIN
39,Malik Monk,10.5,35.4,1665.3,back,SAC
40,Jaden McDaniels,8.2,35.3,1612.7,front,MIN
41,DeMar DeRozan,14.4,34.9,1837.8,back,SAC
42,Christian Braun,6.8,34.5,1605.3,back,DEN
43,Damian Lillard,15.0,34.5,2007.9,back,MIL
44,Josh Hart,10.7,33.9,2091.4,back,NYK
45,Kevin Durant,15.9,33.9,1945.3,front,PHX
46,Jarrett Allen,13.5,33.7,1898.2,front,CLE
47,Jalen Williams,12.8,33.5,2184.9,back,OKC
48,Jalen Green,12.3,33.4,1841.0,back,HOU
49,Nic Claxton,12.4,33.4,1414.5,front,BKN
50,Kelly Oubre Jr.,9.5,33.1,1598.2,back,PHI
51,Keyonte George,8.9,32.6,1417.2,back,UTA
52,Onyeka Okongwu,9.6,31.9,1492.3,front,ATL
53,Jordan Poole,11.0,31.9,1716.2,back,WAS
54,Anfernee Simons,12.9,31.7,1625.9,back,POR
55,CJ McCollum,13.0,31.6,1479.9,back,NOP
56,Brandin Podziemski,9.3,31.5,1055.4,back,GSW
57,Toumani Camara,7.7,31.3,1435.7,front,POR
58,Jaylen Brown,13.8,30.9,1876.2,back,BOS
59,Deni Avdija,11.8,30.4,1640.2,front,POR
60,Nikola Vucevic,13.9,30.4,2208.0,front,CHI
61,Isaiah Hartenstein,10.3,30.1,1277.1,front,OKC
62,Keon Johnson,5.1,29.8,1108.3,back,BKN
63,Tobias Harris,12.3,29.6,1574.8,front,DET
64,Isaiah Collier,5.5,29.6,973.4,back,UTA
65,Alperen Sengun,15.0,29.4,2285.5,front,HOU
66,Derrick White,12.4,29.3,1728.8,back,BOS
67,Ausar Thompson,9.5,29.2,860.4,back,DET
68,Desmond Bane,14.4,28.9,1623.4,back,MEM
