,Player,$,Form,TP.,Pos,team
1,Nikola Jokic,22.7,70.7,3601,front,DEN
181,Luka Doncic,18.7,66.1,3525,back,LAL
182,Cade Cunningham,17.7,55.3,3458,back,DET
2,Victor Wembanyama,18.9,54.9,2784,front,SAS
183,Anthony Edwards,16.7,49.6,2825,back,MIN
4,Paolo Banchero,15.2,49.1,2499,front,ORL
3,Bam Adebayo,15.1,49.1,2466,front,MIA
184,Jalen Brunson,15.0,47.7,2918,back,NYK
5,Kevin Durant,15.9,47.6,2882,front,HOU
6,Jalen Johnson,14.6,45.5,3288,front,ATL
7,Kawhi Leonard,15.1,44.5,2609,front,LAC
185,Josh Giddey,13.7,43.8,2174,back,CHI
186,Desmond Bane,13.9,42.9,2487,back,ORL
187,Jaylen Brown,13.8,42.5,2985,back,BOS
188,Jamal Murray,14.1,42.3,3016,back,DEN
189,LaMelo Ball,15.0,41.0,2460,back,CHA
190,Austin Reaves,12.8,40.4,1813,back,LAL
191,Ryan Rollins,6.6,40.1,2497,back,MIL
8,Brandon Ingram,12.2,40.0,2577,front,TOR
192,Derrick White,12.6,40.0,2633,back,BOS
193,Amen Thompson,13.5,39.9,2710,back,HOU
194,Stephon Castle,10.2,39.5,2296,back,SAS
195,Brandin Podziemski,9.5,39.4,1990,back,GSW
9,Jalen Duren,12.6,39.3,2161,front,DET
10,Karl-Anthony Towns,16.6,39.2,2687,front,NYK
11,Alperen Sengun,16.3,38.8,2793,front,HOU
12,Brandon Miller,12.1,38.7,1939,front,CHA
13,Donovan Clingan,8.8,38.0,2168,front,POR
196,De'Aaron Fox,13.9,37.9,2313,back,SAS
14,Precious Achiuwa,7.9,37.2,1395,front,SAC
15,Gui Santos,4.9,36.9,1086,front,GSW
16,Onyeka Okongwu,11.9,36.9,2248,front,ATL
197,Immanuel Quickley,10.7,36.5,2387,back,TOR
198,Tyrese Maxey,15.5,36.4,3353,back,PHI
199,Jrue Holiday,9.4,36.3,1444,back,POR
17,Kyle Filipowski,8.6,36.0,1760,front,UTA
200,Jalen Green,12.5,35.9,565,back,PHX
201,Reed Sheppard,8.6,35.9,1907,back,HOU
202,Shai Gilgeous-Alexander,18.5,35.6,3134,back,OKC
203,James Harden,16.6,35.5,2867,back,CLE
204,Bennedict Mathurin,10.2,35.4,1367,back,LAC
18,Scottie Barnes,15.1,35.2,2993,front,TOR
205,Dyson Daniels,13.4,35.0,2353,back,ATL
19,RJ Barrett,12.5,34.8,1478,front,TOR
20,Matas Buzelis,7.7,34.7,2121,front,CHI
21,Jarace Walker,6.3,34.5,1654,front,IND
206,DeMar DeRozan,13.3,34.5,2332,back,SAC
207,Kon Knueppel,7.5,34.4,2299,back,CHA
22,Saddiq Bey,8.6,33.7,1885,front,NOP
208,CJ McCollum,12.0,33.6,2036,back,ATL
23,LeBron James,16.6,33.4,2122,front,LAL
24,Zion Williamson,14.6,32.9,1970,front,NOP
209,Cason Wallace,7.9,32.8,1591,back,OKC
25,Maxime Raynaud,5.0,32.8,1455,front,SAC
26,Julius Randle,13.3,32.7,2866,front,MIN
210,Nickeil Alexander-Walker,8.4,32.1,2318,back,ATL
27,OG Anunoby,13.0,32.0,1843,front,NYK
211,Isaiah Collier,8.9,31.6,1901,back,UTA
28,Evan Mobley,14.1,31.5,2229,front,CLE
212,Nique Clifford,5.2,31.5,1242,back,SAC
213,Tyler Herro,13.9,31.4,778,back,MIA
214,Donovan Mitchell,15.2,31.3,3000,back,CLE
29,Jaime Jaquez Jr.,8.8,31.0,2082,front,MIA
215,Collin Gillespie,5.5,30.8,2080,back,PHX
216,Javon Small,4.6,30.7,721,back,MEM
30,Tristan da Silva,5.5,30.4,1238,front,ORL
31,Rudy Gobert,13.0,30.2,2118,front,MIN
33,Bilal Coulibaly,9.0,30.1,1256,front,WAS
32,GG Jackson,8.5,30.1,1016,front,MEM
217,Russell Westbrook,9.2,29.8,2390,back,SAC
34,Jerami Grant,10.0,29.5,1591,front,POR
35,Chet Holmgren,13.5,29.3,2153,front,OKC
36,Michael Porter Jr.,12.4,29.1,2147,front,BKN
218,Payton Pritchard,10.9,28.9,2214,back,BOS
219,Quentin Grimes,7.9,28.8,1732,back,PHI
38,Brice Sensabaugh,6.3,28.8,1452,front,UTA
37,Kel'el Ware,8.3,28.8,1755,front,MIA
220,VJ Edgecombe,7.7,28.7,2125,back,PHI
221,Devin Booker,15.5,28.3,2287,back,PHX
222,Kevin Porter Jr.,8.9,28.2,1671,back,MIL
223,Tre Jones,6.6,28.0,1534,back,CHI
224,Brandon Williams,6.5,27.9,1614,back,DAL
225,Dejounte Murray,13.5,27.8,334,back,NOP
226,Pelle Larsson,4.6,27.8,1357,back,MIA
39,Jaden McDaniels,10.5,27.5,1998,front,MIN
227,Devin Vassell,12.0,27.5,1440,back,SAS
228,Kris Dunn,7.4,27.5,1578,back,LAC
229,Christian Braun,11.4,27.3,783,back,DEN
40,Wendell Carter Jr.,8.5,27.1,1759,front,ORL
41,Derrick Jones Jr.,7.0,26.9,807,front,LAC
230,Jeremiah Fears,5.6,26.9,1879,back,NOP
43,Jaylin Williams,5.4,26.7,1147,front,OKC
42,Jay Huff,8.4,26.7,1589,front,IND
44,Mikal Bridges,12.5,26.6,2299,front,NYK
45,Olivier-Maxence Prosper,4.4,26.4,685,front,MEM
47,Toumani Camara,9.9,26.3,1877,front,POR
46,Neemias Queta,6.0,26.3,1748,front,BOS
231,Donte DiVincenzo,9.5,26.3,2062,back,MIN
232,Scoot Henderson,9.8,26.1,434,back,POR
49,Naji Marshall,8.6,25.8,1916,front,DAL
50,Cody Williams,4.9,25.8,867,front,UTA
48,Herbert Jones,8.4,25.8,1102,front,NOP
233,Jalen Suggs,10.5,25.7,1567,back,ORL
51,Danny Wolf,5.5,25.7,1148,front,BKN
234,Josh Hart,13.5,25.6,1854,back,NYK
235,Carlton Carrington,8.9,25.5,1672,back,WAS
52,Tobias Harris,12.0,25.1,1324,front,DET
53,Oso Ighodaro,6.5,24.8,1303,front,PHX
54,Brook Lopez,8.3,24.7,1082,front,LAC
55,Jaylen Wells,8.3,24.7,1441,front,MEM
56,Julian Champagnie,7.4,24.6,1586,front,SAS
57,Jakob Poeltl,12.0,24.6,847,front,TOR
236,Dylan Harper,8.5,24.5,1401,back,SAS
58,Khris Middleton,9.5,24.4,1186,front,DAL
