PLAYER_NAME,PLAYER_ID,TEAM
Armon Johnson,202356,Blazers
Wesley Matthews,202083,Blazers
Gerald Wallace,2222,Blazers
Rudy Fernandez,201164,Blazers
Brandon Roy,200750,Blazers
Patty Mills,201988,Blazers
Elliot Williams,202343,Blazers
Luke Babbitt,202337,Blazers
LaMarcus Aldridge,200746,Blazers
Chris Johnson,202419,Blazers
Marcus Camby,948,Blazers
Andre Miller,1889,Blazers
Earl Barron,2853,Blazers
Greg Oden,201141,Blazers
Nicolas Batum,201587,Blazers
Jonny Flynn,201938,Blazers
Nolan Smith,202701,Blazers
Raymond Felton,101109,Blazers
Shawne Williams,200761,Blazers
Joel Przybilla,2038,Blazers
Jamal Crawford,2037,Blazers
JJ Hickson,201581,Blazers
Hasheem Thabeet,201934,Blazers
Kurt Thomas,703,Blazers
Craig Smith,200783,Blazers
Damian Lillard,203081,Blazers
Jared Jeffries,2407,Blazers
Sasha Pavlovic,2562,Blazers
Will Barton,203115,Blazers
Eric Maynor,201953,Blazers
Meyers Leonard,203086,Blazers
Victor Claver,201964,Blazers
Joel Freeland,200777,Blazers
Dorell Wright,2748,Blazers
CJ McCollum,203468,Blazers
Earl Watson,2248,Blazers
Allen Crabbe,203459,Blazers
Mo Williams,2590,Blazers
Thomas Robinson,203080,Blazers
Robin Lopez,201577,Blazers
Arron Afflalo,201167,Blazers
Steve Blake,2581,Blazers
Tim Frazier,204025,Blazers
Alonzo Gee,202087,Blazers
Chris Kaman,2549,Blazers
Brian Roberts,203148,Blazers
Maurice Harkless,203090,Blazers
Pat Connaughton,1626192,Blazers
Al-Farouq Aminu,202329,Blazers
Gerald Henderson,201945,Blazers
Ed Davis,202334,Blazers
Noah Vonleh,203943,Blazers
Mason Plumlee,203486,Blazers
Cliff Alexander,1626146,Blazers
Luis Montero,1626242,Blazers
Evan Turner,202323,Blazers
Shabazz Napier,203894,Blazers
Jake Layman,1627774,Blazers
Jusuf Nurkić,203994,Blazers
Festus Ezeli,203105,Blazers
Tim Quarterman,1627817,Blazers
Wade Baldwin IV,1627735,Blazers
Georgios Papagiannis,1627834,Blazers
C.J. Wilcox,203912,Blazers
Zach Collins,1628380,Blazers
Caleb Swanigan,1628403,Blazers
Enes Freedom,202683,Blazers
Rodney Hood,203918,Blazers
Gary Trent Jr.,1629018,Blazers
Skal Labissiere,1627746,Blazers
Anfernee Simons,1629014,Blazers
Seth Curry,203552,Blazers
Carmelo Anthony,2546,Blazers
Moses Brown,1629650,Blazers
Jaylen Hoard,1629658,Blazers
Trevor Ariza,2772,Blazers
Nassir Little,1629642,Blazers
Jaylen Adams,1629121,Blazers
Hassan Whiteside,202355,Blazers
Wenyen Gabriel,1629117,Blazers
Mario Hezonja,1626209,Blazers
Rondae Hollis-Jefferson,1626178,Blazers
Harry Giles III,1628385,Blazers
Derrick Jones Jr.,1627884,Blazers
CJ Elleby,1629604,Blazers
T.J. Leaf,1628388,Blazers
Keljin Blevins,1629833,Blazers
Robert Covington,203496,Blazers
Norman Powell,1626181,Blazers
Joe Ingles,204060,Blazers
Trendon Watford,1630570,Blazers
Greg Brown III,1630535,Blazers
Eric Bledsoe,202339,Blazers
Keon Johnson,1630553,Blazers
Brandon Williams,1630314,Blazers
Josh Hart,1628404,Blazers
Elijah Hughes,1630190,Blazers
Ben McLemore,203463,Blazers
Justise Winslow,1626159,Blazers
Didi Louzada,1629712,Blazers
Matisse Thybulle,1629680,Blazers
Cam Reddish,1629629,Blazers
Jerami Grant,203924,Blazers
Kevin Knox II,1628995,Blazers
Shaedon Sharpe,1631101,Blazers
John Butler Jr.,1631219,Blazers
Drew Eubanks,1629234,Blazers
Jabari Walker,1631133,Blazers
Ibou Badji,1630641,Blazers
Nate Williams,1631466,Blazers
Scoot Henderson,1630703,Blazers
Deandre Ayton,1629028,Blazers
Dalano Banton,1630625,Blazers
Kris Murray,1631200,Blazers
Malcolm Brogdon,1627763,Blazers
Ashton Hagans,1630204,Blazers
Justin Minaya,1631303,Blazers
Duop Reath,1641871,Blazers
Toumani Camara,1641739,Blazers
Robert Williams III,1629057,Blazers
Rayan Rupert,1641712,Blazers
Deni Avdija,1630166,Blazers
Bryce McGowens,1631121,Blazers
Donovan Clingan,1642270,Blazers
Sidy Cissoko,1631321,Blazers
