PLAYER_NAME,PLAYER_ID,TEAM
Jeff Teague,201952,Hawks
Joe Johnson,2207,Hawks
Damien Wilkins,2863,Hawks
Josh Smith,2746,Hawks
Kirk Hinrich,2550,Hawks
Jamal Crawford,2037,Hawks
Josh Powell,2694,Hawks
Al Horford,201143,Hawks
Pape Sy,202377,Hawks
Marvin Williams,101107,Hawks
Magnum Rolle,202375,Hawks
Zaza Pachulia,2585,Hawks
Hilton Armstrong,200756,Hawks
Jason Collins,2215,Hawks
Etan Thomas,2041,Hawks
Avery Bradley,202340,Celtics
Nenad Krstic,2420,Celtics
Kevin Garnett,708,Celtics
Jermaine O'Neal,979,Celtics
Jeff Green,201145,Celtics
Rajon Rondo,200765,Celtics
Glen Davis,201175,Celtics
Von Wafer,101144,Celtics
Delonte West,2753,Celtics
Ray Allen,951,Celtics
Troy Murphy,2211,Celtics
Paul Pierce,1718,Celtics
Shaquille O'Neal,406,Celtics
Carlos Arroyo,2306,Celtics
Sasha Pavlovic,2562,Celtics
Daniel Gibson,200789,Cavaliers
Ramon Sessions,201196,Cavaliers
Antawn Jamison,1712,Cavaliers
Ryan Hollins,200797,Cavaliers
Manny Harris,202412,Cavaliers
Christian Eyenga,201963,Cavaliers
Semih Erden,201623,Cavaliers
Joey Graham,101121,Cavaliers
Anderson Varejao,2760,Cavaliers
Anthony Parker,1515,Cavaliers
JJ Hickson,201581,Cavaliers
Samardo Samuels,202396,Cavaliers
Alonzo Gee,202087,Cavaliers
Luke Harangody,202376,Cavaliers
Baron Davis,1884,Cavaliers
Trevor Ariza,2772,Pelicans
Jarrett Jack,101127,Pelicans
Chris Paul,101108,Pelicans
Marco Belinelli,201158,Pelicans
David Andersen,2431,Pelicans
Jason Smith,201160,Pelicans
Marcus Banks,2556,Pelicans
Quincy Pondexter,202347,Pelicans
Patrick Ewing,201607,Pelicans
Carl Landry,201171,Pelicans
DJ Mbenga,2788,Pelicans
David West,2561,Pelicans
Willie Green,2584,Pelicans
Aaron Gray,201189,Pelicans
Emeka Okafor,2731,Pelicans
Derrick Rose,201565,Bulls
Omer Asik,201600,Bulls
Carlos Boozer,2430,Bulls
Keith Bogans,2586,Bulls
Luol Deng,2736,Bulls
Ronnie Brewer,200758,Bulls
